"alg-geom/9311008","Stefan A. Bauer","S. Bauer and V. Pidstrigatch","Spin polynomial invariants for Dolgachev surfaces","24 pages, amstex",,,,"alg-geom math.AG",,"  We consider the spin polynomial invariants for bundles with c_2=2 and c_1 =
K_S + 2nk a rational mutiple of the canonical divisor on a Dolgacev surface. It
is shown that the chamber structure can be controlled so that the polynomials
give diffeomorphism invariants of Dolgachev surfaces of the form q_S(n) =
a(n)Q^2 + b(n)Qk^2 + c(n)k^4. The two leading coefficients are computed.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 19:06:40 GMT""}]","2008-02-03"
"astro-ph/9311059","Ofer Lahav","O. Lahav, K.B. Fisher, Y. Hoffman, C. A. Scharf, and S. Zaroubi","Wiener Reconstruction of Galaxy Surveys in Spherical Harmonics","submitted to ApJL, 12 pages + 2 figures, uuencoded postscript file,
  IOA11-23","Astrophys.J. 423 (1994) L93","10.1086/187244",,"astro-ph",,"  The analysis of whole-sky galaxy surveys commonly suffers from the problems
of shot-noise and incomplete sky coverage (e.g. at the Zone of Avoidance). The
orthogonal set of spherical harmonics is utilized here to expand the observed
galaxy distribution. We show that in the framework of Bayesian statistics and
Gaussian random fields the $4 \pi$ harmonics can be recovered and the
shot-noise can be removed, giving the most probable picture of the underlying
density field. The correction factor from observed to reconstructed harmonics
turns out to be the well-known Wiener filter (the ratio of signal to
signal+noise), which is also derived by requiring minimum variance. We apply
the method to the projected 1.2 Jy IRAS survey. The reconstruction confirms the
connectivity of the Supergalactic Plane across the Galactic Plane (at Galactic
longitude $l \sim 135^o$ and $l \sim 315^o$) and the Puppis cluster behind the
Galactic Plane ($ l \sim 240^o$). The method can be extended to 3-D in both
real and redshift space, and applied to other cosmic phenomena such as the COBE
Microwave Background maps.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 17:23:00 GMT""}]","2009-10-22"
"astro-ph/9311060",,"Richard Rozanski, Michael Rowan-Robinson (Queen Mary and Westfield
  College, London, UK)","The Brightest Stars in Galaxies Are Not Good Distance Indicators -","9 pages, compressed and uuencoded postscript file, Proceedings of IAP
  Colloquium: Cosmic Velocity Fields",,,,"astro-ph",,"  Use of the brightest stars in galaxies as a distance indicator and claims
that the method supports the `short' distance scale are examined. Data from
several different observational programmes are brought together for the first
time with a procedure for the careful accounting of errors. The true
uncertainties of the method are found to be much larger than claimed by its
advocates. The method is incapable of distinguishing between the `long' and
`short' distance scales.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 19:13:00 GMT""}]","2007-05-23"
"cond-mat/9311053","Efrat Shimshoni","Efrat Shimshoni and S. L. Sondhi","The Quantum Hall Effect in Drag: Inter-layer Friction in Strong Magnetic
  Fields","13 pages, Revtex 2.0, 1 figure upon request, P-93-11-093",,"10.1103/PhysRevB.49.11484",,"cond-mat",,"  We study the Coulomb drag between two spatially separated electron systems in
a strong magnetic field, one of which exhibits the quantum Hall effect. At a
fixed temperature, the drag mimics the behavior of $\sigma_{xx}$ in the quantum
Hall system, in that it is sharply peaked near the transitions between
neighboring plateaux. We assess the impact of critical fluctuations near the
transitions, and find that the low temperature behavior of the drag measures an
exponent $\eta$ that characterizes anomalous low frequency dissipation; the
latter is believed to be present following the work of Chalker.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 17:49:58 GMT""}]","2009-10-22"
"cond-mat/9311054","Ian Affleck","Ian Affleck","Conformal Field Theory Approach to Quantum Impurity Problems","Latex, 15 pages, LaTex, UBCTP-93-25, hard copy of figures available
  from maxwell@physics.ubc.ca",,,,"cond-mat hep-th",,"  A brief review is given of a new method for studying the critical behavior of
quantum impurity problems, based on conformal field theory techniques, which I
developed with Andreas Ludwig. Some results on the overscreened Kondo problem
are reviewed. It is shown that the simple open and periodic fixed points, which
occur in quantum spin chain impurity models, are related to each other by
fusion.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 19:59:00 GMT""},{""version"":""v2"",""created"":""Sat, 27 Nov 1993 00:19:00 GMT""}]","2008-02-03"
"cond-mat/9311056","Virosztek Attila","Attila Virosztek and Kazumi Maki","Phason modes in spin-density wave in the presence of long-range Coulomb
  interaction","7 pages, Revtex 2.1, SZFKI 102/93",,"10.1103/PhysRevB.49.6074",,"cond-mat",,"  We study the effect of long-range Coulomb interaction on the phason in
spin-density wave (SDW) within mean field theory. In the longitudinal limit and
in the absence of SDW pinning the phason is completely absorbed by the plasmon
due to the Anderson-Higgs mechanism. In the presence of SDW pinning or when the
wave vector {\bf q} is tilted from the chain direction, though the plasmon
still almost exhausts the optical sum rule, another optical mode appears at
$\omega < 2\Delta(T)$, with small optical weight. This low frequency mode below
the SDW gap may be accessible to electron energy loss spectroscopy (EELS).
","[{""version"":""v1"",""created"":""Wed, 24 Nov 1993 15:26:14 GMT""}]","2009-10-22"
"gr-qc/9311032","Francesco Antonuccio","F. Antonuccio","Semi-Complex Analysis & Mathematical Physics (Corrected Version)","LaTex (57 pages). Certain speculations introduced in Part III of the
  original paper have been withdrawn. Additional (minor) comments have been
  made",,,,"gr-qc",,"  A theoretical framework based on a simple quasi-number algebra is
investigated in a treatment of space-time and gravity.
","[{""version"":""v1"",""created"":""Wed, 24 Nov 1993 11:42:20 GMT""},{""version"":""v2"",""created"":""Wed, 12 Jan 1994 15:46:19 GMT""}]","2008-02-03"
"hep-lat/9311035",,"O.A.Borisenko, V.K.Petrov, G.M.Zinovjev","Induced Chern-Simons term in lattice QCD at finite temperature","22 pages, LATEX, Kiev Institute for Theoretical Physics preprint
  ITP-92-19E","Nucl.Phys. B437 (1995) 391-414","10.1016/0550-3213(94)00580-8",,"hep-lat",,"  The general conditions for the Chern-Simons action to be induced as a
nonuniversal contribution of fermionic determinant are formulated in the finite
temperature lattice QCD. The dependence of the corresponding action coefficient
on nonuniversal parameters (chemical potentials, vacuum features, etc. ) is
explored. Special attention is paid to the role of $A_0$-condensate if it is
available in this theory.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 20:39:42 GMT""}]","2009-10-22"
"hep-lat/9311036","Marco Falcioni","M. Bowick, M. Falcioni, G. Harris and E. Marinari","Critical Slowing Down of Cluster Algorithms for Ising Models Coupled to
  2-d Gravity","7 pages including 5 postscript figures, epsf.sty latex","Phys.Lett. B322 (1994) 316-322","10.1016/0370-2693(94)91159-2","SU-HEP-4241-560","hep-lat cond-mat",,"  We simulate single and multiple Ising models coupled to 2-d gravity using
both the Swendsen-Wang and Wolff algorithms to update the spins. We study the
integrated autocorrelation time and find that there is considerable critical
slowing down, particularly in the magnetization. We argue that this is
primarily due to the local nature of the dynamical triangulation algorithm and
to the generation of a distribution of baby universes which inhibits cluster
growth.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 22:07:01 GMT""}]","2009-10-22"
"hep-lat/9311037","Istvan Montvay","Istvan Montvay","Fermion number violation and a two-dimensional Higgs model","3 pages, DESY-93-164. To be published in the Proceedings of the 2nd
  IMACS Conference on Computational Physics, 1993, Saint Louis","Int.J.Mod.Phys.C5:339-341,1994","10.1142/S0129183194000441",,"hep-lat",,"  The investigation of topological properties of the gauge field in a
two-dimensional Higgs model can help in understanding anomalous fermion number
violation.
","[{""version"":""v1"",""created"":""Wed, 24 Nov 1993 15:27:05 GMT""}]","2011-04-15"
"hep-ph/9311345","Mikolaj Misiak","A. J. Buras, M. Misiak, M. Muenz and S. Pokorski","Theoretical Uncertainties and Phenomenological Aspects of $B \rightarrow
  X_s \gamma$ Decay","22 pages (including figures), MPI-Ph/93-77, TUM-T31-50/93","Nucl.Phys.B424:374-398,1994","10.1016/0550-3213(94)90299-2",,"hep-ph",,"  We analyze uncertainties in the theoretical prediction for the inclusive
branching ratio $BR[B \rightarrow X_s \gamma]$. We find that the dominant
uncertainty in the leading order expression comes from its $\mu$-dependence. We
discuss a next-to-leading order calculation of $B \rightarrow X_s \gamma$ in
general terms and check to what extent the $\mu$-dependence can be reduced in
such a calculation. We present constraints on the Standard and
Two-Higgs-Doublet Model parameters coming from the measurement of $b
\rightarrow s \gamma$ decay. The current theoretical uncertainties do not allow
one to definitively restrict the Standard Model parameters much beyond the
limits coming from other experiments. The bounds on the Two-Higgs-Doublet Model
remain very strong, though significantly weaker than the ones present in the
recent literature. In the Two-Higgs-Doublet Model case, the $b \rightarrow s
\gamma$, $Z \rightarrow b \bar{b}$ and $b \rightarrow c \tau \bar{\nu}_{\tau}$
processes are enough to give the most restrictive bounds in the
$M_{H^{\pm}}-tan \beta$ plane.
","[{""version"":""v1"",""created"":""Tue, 23 Nov 1993 16:21:20 GMT""},{""version"":""v2"",""created"":""Tue, 23 Nov 1993 17:05:49 GMT""}]","2011-07-19"
