"astro-ph/9309015","Peter G. Sutherland","Xiao-he Zhang and Peter Sutherland","A New Radiation Hydrodynamics Code and Application to the Calculation of
  Type Ia Supernovae Light Curves and Continuum Spectra","24 pages, LaTeX with prepended aasms.sty, figures (compressed
  postscript) available upon request at pgs@physun.physics.mcmaster.ca",,"10.1086/173764",,"astro-ph",,"  A new, fully dynamic and self-consistent radiation hydrodynamics code,
suitable for the calculation of supernovae light curves and continuum spectra,
is described. It is a multigroup (frequency-dependent) code and includes all
important $O(v/c)$ effects. It is applied to the model W7 of Nomoto,
Thielemann, \& Yokoi (1984) for supernovae of type Ia. Radioactive energy
deposition is incorporated through use of tables based upon Monte Carlo
results. Effects of line opacity (both static or line blanketing and expansion
or line blocking) are neglected, although these may prove to be important. At
maximum light, models based upon different treatments of the opacity lead to
values for $M_{B,max}$ in the range of -19.0 to -19.4. This range falls between
the values for observed supernova claimed by Leibundgut \& Tammann (1990) and
by Pierce, Ressler, \& Shure (1992).
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 18:33:28 GMT""}]","2009-10-22"
"cond-mat/9309010",,"Y. Chen and S. M. Manning","Asymptotic Level Spacing of the Laguerre Ensemble: A Coulomb Fluid
  Approach","10pp, LaTeX",,"10.1088/0305-4470/27/11/011",,"cond-mat",,"  We determine the asymptotic level spacing distribution for the Laguerre
Ensemble in a single scaled interval, $(0,s)$, containing no levels,
$E_{\bt}(0,s)$, via Dyson's Coulomb Fluid approach. For the $\alpha=0$
Unitary-Laguerre Ensemble, we recover the exact spacing distribution found by
both Edelman and Forrester, while for $\alpha\neq 0$, the leading terms of
$E_{2}(0,s)$, found by Tracy and Widom, are reproduced without the use of the
Bessel kernel and the associated Painlev\'e transcendent. In the same
approximation, the next leading term, due to a ``finite temperature''
perturbation $(\bt\neq 2)$, is found.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 18:01:20 GMT""},{""version"":""v2"",""created"":""Mon, 13 Sep 1993 12:48:53 GMT""}]","2009-10-22"
"hep-th/9309058","Sonia Stanciu","Sonia Stanciu","Additional Symmetries of Supersymmetric KP Hierarchies","21 pages, Plain TeX, BONN-HE-93-31","Commun.Math.Phys. 165 (1994) 261-280","10.1007/BF02099771",,"hep-th",,"  We investigate the additional symmetries of several supersymmetric KP
hierarchies: the SKP hierarchy of Manin and Radul, the $\hbox{SKP}_2$
hierarchy, and the Jacobian SKP hierarchy. In all three cases we find that the
algebra of symmetries is isomorphic to the algebra of superdifferential
operators, or equivalently $\SW_{1+\infty}$. These results seem to suggest that
despite their realization depending on the dynamics, the additional symmetries
are kinematical in nature.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 17:46:54 GMT""},{""version"":""v2"",""created"":""Sun, 12 Sep 1993 11:57:07 GMT""},{""version"":""v3"",""created"":""Thu, 31 Mar 1994 16:46:05 GMT""}]","2009-10-22"
"hep-th/9309059",,"Ali Mostafazadeh (Dep. of Physics, U. Texas at Austin, Austin, Texas)","Supersymmetry and the Atiyah-Singer Index Theorem I: Peierls Brackets,
  Green's Functions, and a Supersymmetric Proof of the Index Theorem","47 pages","J.Math.Phys. 35 (1994) 1095-1124","10.1063/1.530630",,"hep-th",,"  The Peierls bracket quantization scheme is applied to the supersymmetric
system corresponding to the twisted spin index theorem. A detailed study of the
quantum system is presented, and the Feynman propagator is exactly computed.
The Green's function methods provide a direct derivation of the index formula.
Note: This is essentially a new SUSY proof of the index theorem.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 18:04:49 GMT""}]","2009-10-22"
"hep-th/9309060",,"Ali Mostafazadeh and Arno Bohm","Topological Aspects of the Non-adiabatic Berry Phase","14 pages, Dep. of Physics, Uni. of Texas at Austin, Austin, Texas
  78712, to appear in J. Physics A",,"10.1088/0305-4470/26/20/030",,"hep-th",,"  The topology of the non-adiabatic parameter space bundle is discussed for
evolution of exact cyclic state vectors in Berry's original example of split
angular momentum eigenstates. It turns out that the change in topology occurs
at a critical frequency. The first Chern number that classifies these bundles
is proportional to angular momentum. The non-adiabatic principal bundle over
the parameter space is not well-defined at the critical frequency.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 18:06:50 GMT""}]","2009-10-22"
"hep-th/9309061",,"Ali Mostafazadeh","Supersymmetry and the Atiyah-Singer Index Theorem II: The Scalar
  Curvature Factor in the Schr{\"" o}dinger Equation","19 pages, Dep. of Physics, Uni. of Texas at Austin, Austin, Texas
  78712, part2","J.Math.Phys. 35 (1994) 1125-1138","10.1063/1.530631",,"hep-th",,"  The quantization of the superclassical system used in the proof of the index
theorem results in a factor of $\hbar^{2}R/8 $ in the Hamiltonian. The path
integral expression of the kernel is analyzed up to and including 2-loop order.
The existence of the scalar curvature term is confirmed by comparing the linear
term in the heat kernel expansion with the 2-loop order terms in the loop
expansion.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 18:13:49 GMT""}]","2009-10-22"
"hep-th/9309062","Solodukhin-63942","S.N.Solodukhin","Cosmological Solutions in 2D Poincar\'E Gravity","4p., Latex, To appear in Proc.of Journees Relativistes 1993","Int.J.Mod.Phys.D3:269-272,1994","10.1142/S0218271894000435",,"hep-th",,"  Abtract: The 2D model of gravity with zweibeins $e^{a}$ and the Lorentz
connection one-form $\omega^{a}_{\ b}$ as independent gravitational variables
is considered. The solutions of classical equations of motion which can be
interpreted as cosmological ones are studied.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 19:56:00 GMT""},{""version"":""v2"",""created"":""Wed, 22 Sep 1993 11:35:36 GMT""}]","2011-04-20"
"hep-th/9309063","David N. Yetter","Louis Crane, Louis H. Kauffman, David N. Yetter","Evaluating the Crane-Yetter Invariant","4 pages",,,,"hep-th math.QA",,"  We provide an explicit formula for the invariant of 4-manifolds introduced by
Crane and Yetter (in hep-th 9301062). A consequence of our result is the
existence of a combinatorial formula for the signature of a 4-manifold in terms
of local data from a triangulation. Potential physical applications of our
result exist in light of the fact that the Crane-Yetter invariant is a rigorous
version of ideas of Ooguri on B wedge F theory.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 19:03:55 GMT""}]","2008-02-03"
"hep-th/9309064","Elias Kiritsis","E. Kiritsis","Duality Symmetries and Topology Change in String Theory","lateX file, 6pp. CERN-TH.7003/93",,,,"hep-th",,"  Duality symmetries for strings moving in non-trivial spacetime backgrounds
are analysed. It is shown that for backgrounds generated from WZW and coset CFT
models such duality symmetries are exact to all orders in string perturbation
theory. Their implications for string dynamics in non-trivial/singular
spacetimes are discussed. (Talk given at the EPS 93 Conference, held at
Marseille, July 22-27. To appear in the Proceedings.)
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 20:10:16 GMT""}]","2007-05-23"
"hep-th/9309065",,"L.Chandar and E.Ercolessi","Inequivalent Quantizations of Yang-Mills Theory on a Cylinder","(new references added and minor spelling corrections made) 18 pages,
  SU-4240-537","Nucl.Phys. B426 (1994) 94-106","10.1016/0550-3213(94)90127-9",,"hep-th",,"  Yang-Mills theories on a 1+1 dimensional cylinder are considered. It is shown
that canonical quantization can proceed following different routes, leading to
inequivalent quantizations. The problem of the non-free action of the gauge
group on the configuration space is also discussed. In particular we re-examine
the relationship between ``$\theta$-states"" and the fundamental group of the
configuration space. It is shown that this relationship does or does not hold
depending on whether or not the gauge transformations not connected to the
identity act freely on the space of connections modulo connected gauge
transformations.
","[{""version"":""v1"",""created"":""Fri, 10 Sep 1993 20:50:00 GMT""},{""version"":""v2"",""created"":""Fri, 17 Sep 1993 17:34:00 GMT""}]","2009-10-22"
