"astro-ph/9310031","Phil Fischer","Philippe Fischer, Greg P. Kochanski","Optimal Addition of Images for Detection and Photometry","27 pages (uuencoded compressed postscript), 1993","Astron.J. 107 (1994) 802-810","10.1086/116898",,"astro-ph",,"  In this paper we describe weighting techniques used for the optimal
coaddition of CCD frames with differing characteristics. Optimal means maximum
signal-to-noise (s/n) for stellar objects. We derive formulae for four
applications: 1) object detection via matched filter, 2) object detection
identical to DAOFIND, 3) aperture photometry, and 4) ALLSTAR profile-fitting
photometry. We have included examples involving 21 frames for which either the
sky brightness or image resolution varied by a factor of three. The gains in
s/n were modest for most of the examples, except for DAOFIND detection with
varying image resolution which exhibited a substantial s/n increase. Even
though the only consideration was maximizing s/n, the image resolution was seen
to improve for most of the variable resolution examples. Also discussed are
empirical fits for the weighting and the availability of the program, WEIGHT,
used to generate the weighting for the individual frames. Finally, we include
appendices describing the effects of clipping algorithms and a scheme for
star/galaxy and cosmic ray/star discrimination.
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 18:26:18 GMT""}]","2009-10-22"
"astro-ph/9310032","Marc Kamionkowski","Gerard Jungman and Marc Kamionkowski","Cosmic-Ray Antiprotons from Neutralino Annihilation into Gluons","(13 pages available as a uuencoded, tarred, compressed PostScript
  file), SU-4240-554, IASSNS-HEP-93/54, EFI-93-60","Phys.Rev.D49:2316-2321,1994","10.1103/PhysRevD.49.2316",,"astro-ph hep-ph",,"  We estimate the flux of cosmic-ray antiprotons expected from the annihilation
of neutralinos in the galactic halo. The antiproton signal may offer an
important alternative detection scheme in the case that neutralino annihilation
proceeds mainly to the two-gluon final state.
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 21:28:45 GMT""}]","2010-11-30"
"astro-ph/9310033",,"Mark A. O'Dell, Martin A. Hendry, Andrew Collier Cameron","New Distance Measurements to the $\alpha$ Persei and Pleiades Clusters","Plain Latex version 3.1, 15 pages, Sussex-AST-93/9-3. Submitted to
  MNRAS","Mon.Not.Roy.Astron.Soc. 268 (1994) 181","10.1093/mnras/268.1.181",,"astro-ph",,"  We apply the new distance measuring technique of Hendry, O'Dell and Collier-
Cameron, 1993, to the Pleiades and $\alpha$ Persei clusters. The method relies
on knowledge of the periods, rotation velocities and angular diameters of a
sample of late-type stars within each cluster. The angular diameters were found
by recalibrating the Barnes-Evans surface brightness relation. Applying our new
distance method we derive a Pleiades distance in very good agreement with
previous ZAMS fitting determinations, whereas our $\alpha$ Persei distance
appears substantially greater. In response to this greater distance, we apply a
recent semi-empirical main-seqeunce fitting technique to $\alpha$ Persei and
confirm the findings of our new distance indicator. (Figures / preprint
available on request)
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 21:51:00 GMT""}]","2015-06-24"
"astro-ph/9310034",,"S. Bardelli, E.Zucca, G.Vettolani, G.Zamorani, et al","Study of the Core of the Shapley Concentration: I.the Sample","plain Tex, tables and figures upon request (contact
  BARDELLI@ALMA02.CINECA.IT) BAP 10-1993-030-DDA",,"10.1093/mnras/267.3.665",,"astro-ph",,"  We report the first results of a spectroscopic survey of galaxies in the core
of the Shapley Concentration, the richest nearby supercluster of clusters of
galaxies. We have measured 311 new galaxy redshifts in an area of $\sim 4.5$
square degrees centered around the Abell cluster A3558. Considering also the
data already available in the literature, the total number of galaxy redshifts
in this area amounts to more than 500. On the basis of these data we estimate
the mean velocities and the velocity dispersions of the Abell clusters A3556,
A3558 and the poor cluster SC 1329 -314. Finally, from an analysis of the
projected and three--dimensional distributions of galaxies in this region, we
estimate the galaxy overdensity and find that the core of the Shapley
Concentration has an interesting, very complex dynamical state: the main
clusters appear to be interacting with each other, forming a single elongated
structure containing many subcondensations.
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 18:30:52 GMT""}]","2015-06-24"
"astro-ph/9310035",,"Martin A. Hendry, Mark A. O'Dell and Andrew Collier-Cameron
  (University of Sussex, Brighton BN1 9QH.)","A New Method for Estimating the Distance to Young Open Clusters","Plain Latex version 3.1, 14 pages, Sussex-AST-93/8-1, to appear in
  MNRAS","Mon.Not.Roy.Astron.Soc. 265 (1993) 983","10.1093/mnras/265.4.983",,"astro-ph",,"  We present a new technique for estimating the distance to young open
clusters. The method requires accurate measurement of the axial rotation period
of late-type members of the cluster: rotation periods are first combined with
projected rotation velocities and an estimate of the angular diameter for each
star -- obtained using the Barnes-Evans relation between colour and surface
brightness. A 'best' cluster distance estimate is then determined using
standard techniques from the theory of order statistics which are in common use
in the general statistics literature. It is hoped that this new method will
prove a useful adjoint to more traditional distance methods, and will provide a
better %determination of the distance scale within the solar neighbourhood.
(Figures / preprint available on request)
","[{""version"":""v1"",""created"":""Fri, 15 Oct 1993 13:10:00 GMT""}]","2015-06-24"
"cond-mat/9310033",,"Dirk Jan Bukman and J.M.J. van Leeuwen","Pressure and density of vacancies in solid $^4$He","16 pages, in REVTEX 2.0, 6 figures in Postscript appended, SFUP-9310q",,"10.1103/PhysRevB.49.226",,"cond-mat",,"  Crystals of $^4$He contain vacancies that move around by a quantum mechanical
hopping process. The density and pressure of these vacancies can be
experimentally studied. The accuracy of the experiments is high enough to
detect the effect of the Bose statistics of the vacancies. In this paper we
examine the effect of the hard-core repulsion between the vacancies, which
should also have a measurable effect on their behaviour. We set up a virial
expansion for a lattice gas of hard-core particles, and calculate the second
virial coefficient. It turns out that the vacancies behave as ideal Bose
particles at low temperatures, but that the hard-core interaction makes them
behave more and more like fermions as the temperature increases.
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 17:08:05 GMT""}]","2009-10-22"
"cond-mat/9310034","Norbert Schultka","Norbert Schultka and Efstratios Manousakis","Finite-Size Scaling in Two-Dimensional Superfluids","13 pages, postscript file",,"10.1103/PhysRevB.49.12071",,"cond-mat hep-lat",,"  Using the $x-y$ model and a non-local updating scheme called cluster Monte
Carlo, we calculate the superfluid density of a two dimensional superfluid on
large-size square lattices $L \times L$ up to $400\times 400$. This technique
allows us to approach temperatures close to the critical point, and by studying
a wide range of $L$ values and applying finite-size scaling theory we are able
to extract the critical properties of the system. We calculate the superfluid
density and from that we extract the renormalization group beta function. We
derive finite-size scaling expressions using the Kosterlitz-Thouless-Nelson
Renormalization Group equations and show that they are in very good agreement
with our numerical results. This allows us to extrapolate our results to the
infinite-size limit. We also find that the universal discontinuity of the
superfluid density at the critical temperature is in very good agreement with
the Kosterlitz-Thouless-Nelson calculation and experiments.
","[{""version"":""v1"",""created"":""Thu, 14 Oct 1993 18:31:40 GMT""}]","2009-10-22"
"cond-mat/9310035","Dietrich Belitz","T.R.Kirkpatrick and D.Belitz","The Role of Cooperons in the Disordered Electron Problem: Logarithmic
  Corrections to Scaling Near the Metal-Insulator Transition","29pp, REVTex, 1 Figure (same as PRL 70, 974 (1993)), db/93/6",,,,"cond-mat",,"  The effect of Cooperons on metal-insulator transitions (MIT) in disordered
interacting electronic systems is studied. It is argued that previous results
which concluded that Cooperons are qualitatively unimportant near the MIT might
not be correct, and that the problem is much more complicated than had
previously been realized. Although we do not completely solve the Cooperon
problem, we propose a new approach that is at least internally consistent.
Within this approach we find that in all universality classes where Cooperons
are present, i.e. in the absence of magnetic impurities and magnetic fields,
there are logarithmic corrections to scaling at the MIT. This result is used
for a possible resolution of the so-called exponent puzzle for the conductivity
near the MIT. A discussion of the relationship between theory and experiment is
given. We also make a number of predictions concerning crossover effects which
occur when a magnetic field is applied to a system with Cooperons.
","[{""version"":""v1"",""created"":""Fri, 15 Oct 1993 02:52:31 GMT""}]","2007-05-23"
"cond-mat/9310036","Michel Caffarel","Michel Caffarel, Patrick Azaria, Bertrand Delamotte, and Dominique
  Mouhanna","Monte Carlo Calculation of the Spin-Stiffness of the Two-Dimensional
  Heisenberg Model","6 pages, latex, 3 postscript figures appended, DIM preprint 93-30",,"10.1209/0295-5075/26/7/003",,"cond-mat",,"  Using a collective-mode Monte Carlo method (the Wolff-Swendsen-Wang
algorithm), we compute the spin-stiffness of the two-dimensional classical
Heisenberg model. We show that it is the relevant physical quantity to
investigate the behaviour of the model in the very low temperature range
inaccessible to previous studies based on correlation length and susceptibility
calculations.
","[{""version"":""v1"",""created"":""Fri, 15 Oct 1993 10:41:49 GMT""}]","2009-10-22"
"cond-mat/9310037","Jainendra Jain","J.K. Jain, S.A. Kivelson, and D.J. Thouless","Proposed Measurement of an Effective Flux Quantum in the Fractional
  Quantum Hall Effect","Latex",,"10.1103/PhysRevLett.71.3003",,"cond-mat",,"  We consider a channel of an incompressible fractional-quantum-Hall-effect
(FQHE) liquid containing an island of another FQHE liquid. It is predicted that
the resistance of this channel will be periodic in the flux through the island,
with the period equal to an odd integer multiple of the fundamental flux
quantum, $\phi_{0}=hc/e$. The multiplicity depends on the quasiparticle charges
of the two FQHE liquids.
","[{""version"":""v1"",""created"":""Fri, 15 Oct 1993 11:57:25 GMT""}]","2009-10-22"
