"astro-ph/9307039","Eyal Maoz","Eyal Maoz","The Expected Dipole in the Distribution of Cosmological Gamma-Ray Bursts","10 pages, Latex, Submitted to ApJ, preprints available","Astrophys.J. 428 (1994) 454","10.1086/174258",,"astro-ph",,"  If gamma-ray bursts originate at cosmological distances then their angular
distribution should exhibit a dipole in the direction of the solar motion
relative to the cosmic microwave background. This is due to the combined
effects of abberation, an anisotropic shift of the burst event rate, and an
angular variation in the distance out to which bursts can be detected.
  We derive the amplitude of the expected dipole for an open and flat
cosmological model, and for various possible evolution rates of the burst
population. Although our dimensionless velocity with respect to the CMB rest
frame is of order $10^{-3}$, the dipole amplitude is of order $10^{-2}$, an
order of magnitude larger. The results depend very weakly on the value of
$\Omega_0$, but are sensitive to the spectral index of the bursts' photon
spectra, and to the rate of evolution of the burst population. There is no
dependence on the value of the Hubble constant.
  A clear detection of the dipole will require a larger sample of bursts than
currently available (of order $10^4$). Future statistical analyses of the
hypothesis that bursts originate at cosmological distances should take this
effect into account, rather than assuming a perfectly isotropic distribution,
for obtaining the correct statistical significance of their results.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:02:27 GMT""}]","2009-10-22"
"astro-ph/9307040","Mark Hindmarsh","Mark Hindmarsh","Small Scale Microwave Background Fluctuations from Cosmic Strings","24pp LaTeX, 5 ps figures in 4 files, self-unpacking uuencoded file.
  (Corrected formula for dT/T, non-Gaussian statistical analysis of OVRO data,
  leading to revised bound on relevant parameter of string model.)","Astrophys.J.431:534-542,1994","10.1086/174505",,"astro-ph hep-ph",,"  The Cosmic Microwave Background (CMB) fluctuations at very small angular
scales (less than $10'$) induced by matter sources are computed in a simplified
way. The result corrects a previous formula appearing in the literature. The
small scale power spectrum from cosmic strings is then calculated by a new
analytic method. The result compares extremely well with the spectrum computed
by numerical techniques (when the old, incorrect, formula is used). The upper
bound on the string parameters derived from OVRO data is re-examined, taking
into account the non-Gaussian nature of stringy perturbations on small scales.
Assuming a conventional ionization history, the bound is $\gamma G\mu <
11\times 10^{-6}$, where $\gamma^2$ is the number of horizon lengths of string
per horizon volume. Current simulations give $\gamma^2 = 31\pm 7$.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 11:56:06 GMT""},{""version"":""v2"",""created"":""Thu, 19 Aug 1993 15:47:13 GMT""},{""version"":""v3"",""created"":""Wed, 9 Feb 1994 15:14:09 GMT""}]","2011-05-10"
"cond-mat/9307060","Qimiao Si","Qimiao Si and Gabriel Kotliar","Metallic Non-Fermi Liquid Phases of an Extended Hubbard Model in
  Infinite Dimensions","56 pages, REVTEX",,"10.1103/PhysRevB.48.13881",,"cond-mat",,"  We study an extended Hubbard model in the limit of infinite dimensions and
its zero dimensional counterpart, a generalized asymmetric Anderson model. In
the impurity model we find three kinds of mixed valence states: a) the usual
strong coupling state in which a resonance forms at the Fermi level; b) a weak
coupling state in which neither the impurity spin nor the impurity charge
degrees of freedom is quenched; and c) an intermediate coupling state where the
spin but not the charge degree of freedom is quenched. The corresponding phases
of the extended Hubbard model in infinite dimensions are a) a Fermi liquid; b)
a non-Fermi liquid state with incoherent charge and spin excitations; and c) a
non-Fermi liquid state with incoherent charge but coherent spin excitations.
The non-Fermi liquid phases are incoherent metallic states with vanishing
quasiparticle residue, self-similar local correlation functions, and
asymptotically decoupled charge and spin excitations. The non-Fermi liquid
phases occur for a wide range of parameters.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 21:27:13 GMT""}]","2009-10-22"
"cond-mat/9307061","Qimiao Si","Gabriel Kotliar and Qimiao Si","Quantum Chemistry, Anomalous Dimensions, and the Breakdown of Fermi
  Liquid Theory in Strongly Correlated Systems","12 pages, REVTEX",,"10.1088/0031-8949/1993/T49A/027",,"cond-mat",,"  We formulate a local picture of strongly correlated systems as a Feynman sum
over atomic configurations. The hopping amplitudes between these atomic
configurations are identified as the renormalization group charges, which
describe the local physics at different energy scales. For a metallic system
away from half-filling, the fixed point local Hamiltonian is a generalized
Anderson impurity model in the mixed valence regime. There are three types of
fixed points: a coherent Fermi liquid (FL) and two classes of self-similar
(scale invariant) phases which we denote incoherent metallic states (IMS). When
the transitions between the atomic configurations proceed coherently at low
energies, the system is a Fermi liquid. Incoherent transitions between the low
energy atomic configurations characterize the incoherent metallic states. The
initial conditions for the renormalization group flow are determined by the
physics at rather high energy scales. This is the domain of local quantum
chemistry. We use simple quantum chemistry estimates to specify the basin of
attraction of the IMS fixed points.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 21:28:23 GMT""}]","2015-06-25"
"cond-mat/9307062","Qimiao Si","Qimiao Si","Spin Dynamics in the Normal State of High T_c Superconductors","30 pages, REVTEX",,"10.1142/S0217979294000038",,"cond-mat",,"  We summarize our recent theoretical studies on the spin dynamics in the
normal state of the metallic cuprates. The contrasting wave vector dependence
of the dynamical spin structure factor $S({\bf q}, \omega )$ in LaSrCuO and
YBaCuO systems are attributed to the differences in the fermiology, in
conjunction with strong Coulomb correlations. These effects are found to
account also for the anomalous temperature and frequency dependence of $S({\bf
q}, \omega )$. We conclude that the low energy spin dynamics of the metallic
cuprates are described in terms of correlated quasiparticles with a Luttinger
Fermi surface and a non-zero antiferromagnetic exchange interaction.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 21:29:29 GMT""}]","2015-06-25"
"cond-mat/9307063","Enzo Granato","E. Granato","Decoupling in the 1D frustrated quantum XY model and Josephson junction
  ladders: Ising critical behavior","15 pages with figures, RevTex 3.0, INPE-93/002","Phys. Rev. B48, 7727 (1993)","10.1103/PhysRevB.48.7727",,"cond-mat",,"  A generalization of the one-dimensional frustrated quantum XY model is
considered in which the inter and intra-chain coupling constants of the two
infinite XY (planar rotor) chains have different strengths. The model can
describe the superconductor to insulator transition due to charging effects in
a ladder of Josephson junctions in a magnetic field with half a flux quantum
per plaquette. From a fluctuation-effective action, this transition is expected
to be in the universality class of the two-dimensional classical XY-Ising
model. The critical behavior is studied using a Monte Carlo transfer matrix
applied to the path-integral representation of the model and a
finite-size-scaling analysis of data on small system sizes. It is found that,
unlike the previous studied case of equal inter and intra-chain coupling
constants, the XY and Ising-like excitations of the quantum model decouple for
large interchain coupling, giving rise to pure Ising model critical behavior
for the chirality order parameter and a superconductor-insulator transition in
the universality class of the 2D classical XY model.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 22:20:51 GMT""}]","2009-10-22"
"cond-mat/9307064","Kai Nagel","Kai Nagel, Hans J. Herrmann","Deterministic Models for Traffic Jams","11 pages, latex, HLRZ preprint 46/93, UKAM-WP 93.133",,"10.1016/0378-4371(93)90006-P",,"cond-mat",,"  We study several deterministic one-dimensional traffic models. For integer
positions and velocities we find the typical high and low density phases
separated by a simple transition. If positions and velocities are continuous
variables the model shows self-organized criticality driven by the slowest car.
","[{""version"":""v1"",""created"":""Fri, 30 Jul 1993 01:05:06 GMT""}]","2009-10-22"
"cond-mat/9307065","Felix Ritort Tor Vergata Univ.","Felix Ritort","Chaos in short-range spin glasses","10 pages+3 figures on request, Latex file",,,"University of Rome II ROM2F/93","cond-mat",,"  The nature of static chaos in Ising spin glasses is studied. For the problem
of chaos with magnetic field, scaling relations in the case of the SK model and
short-range models are presented. Our results also suggest that if there is de
Almeida-Thouless line then it is similar to that of mean-field theory for d=4
and close to the h=0 axis for d=3. We estimate the lower critical dimension to
be in the range 2.7-2.9. Numerical studies at d=4 show that there is chaos
against temperature changes dT and the correlation length diverges like 1/dT.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 17:31:44 GMT""}]","2007-05-23"
"gr-qc/9307038","Robert Manuel Wald","Robert M. Wald","Black Hole Entropy is Noether Charge","16 pages, EFI 93-42","Phys.Rev.D48:3427-3431,1993","10.1103/PhysRevD.48.R3427",,"gr-qc",,"  We consider a general, classical theory of gravity in $n$ dimensions, arising
from a diffeomorphism invariant Lagrangian. In any such theory, to each vector
field, $\xi^a$, on spacetime one can associate a local symmetry and, hence, a
Noether current $(n-1)$-form, ${\bf j}$, and (for solutions to the field
equations) a Noether charge $(n-2)$-form, ${\bf Q}$. Assuming only that the
theory admits stationary black hole solutions with a bifurcate Killing horizon,
and that the canonical mass and angular momentum of solutions are well defined
at infinity, we show that the first law of black hole mechanics always holds
for perturbations to nearby stationary black hole solutions. The quantity
playing the role of black hole entropy in this formula is simply $2 \pi$ times
the integral over $\Sigma$ of the Noether charge $(n-2)$-form associated with
the horizon Killing field, normalized so as to have unit surface gravity.
Furthermore, we show that this black hole entropy always is given by a local
geometrical expression on the horizon of the black hole. We thereby obtain a
natural candidate for the entropy of a dynamical black hole in a general theory
of gravity. Our results show that the validity of the ``second law"" of black
hole mechanics in dynamical evolution from an initially stationary black hole
to a final stationary state is equivalent to the positivity of a total Noether
flux, and thus may be intimately related to the positive energy properties of
the theory. The relationship between the derivation of our formula for black
hole entropy and the derivation via ``Euclidean methods"" also is explained.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:37:13 GMT""}]","2008-11-26"
"hep-ph/9307364","Marco Ciuchini","M. Ciuchini, E. Franco, G. Martinelli, L. Reina, L. Silvestrini","Scheme Independence of the Effective Hamiltonian for $b \rightarrow s \,
  \gamma$ and $b \rightarrow s \, g$ Decays","16 pp + 5 figures not included (available by anonymous ftp at
  amisan.iss.infn.it (141.108.15.215), directory /ftp/bsgamma), LaTeX, LPTENS
  93/28, ROME 93/958, ULB-TH 93/09","Phys.Lett.B316:127-136,1993","10.1016/0370-2693(93)90668-8",,"hep-ph",,"  We present a calculation of the effective weak Hamiltonian which governs $b
\rightarrow s\, \gamma$ and $b \rightarrow s \, g$ transitions in two different
renormalization schemes (NDR and HV). In the leading logarithmic approximation,
we show that the coefficients of the effective Hamiltonian are scheme
independent only when one takes correctly into account the scheme dependence of
one- and two- loop diagrams. We demonstrate that in NDR there are contributions
which were missed in previous calculations. These contributions are necessary
to obtain scheme independent coefficients in the final results.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:57:00 GMT""},{""version"":""v2"",""created"":""Fri, 30 Jul 1993 18:05:48 GMT""}]","2011-04-20"
"hep-ph/9307365","Harada Masayasu","Masako Bando and Masayasu Harada","Interpolating Axial Anomaly Induced Amplitudes","LaTeX, 25 pages + 7 figures, (figures are included as uuencoded
  files), KUNS-1209 HE(TH) 93/06","Prog.Theor.Phys. 92 (1994) 583-602","10.1143/PTP.92.583",,"hep-ph",,"  We propose an interpolating formula for the amplitude induced by the axial
anomaly, concentrating on the $\pi^0\gamma^{\ast}\gamma^{\ast}$ transition form
factor. The QCD corrections to this amplitude are generally described by two
major contributions coming from the $q\bar{q}$ bound state and the background
continuous spectrum, respectively.
  For the first contribution, we include the lowest vector bound state using
the realization of the dynamical gauge boson of hidden local symmetry. The
second contribution is included as the triangle quark loop in which a
constituent mass is adopted as a internal quark mass and the amplitudes are
smeared out around the threshold. Using the resulting form factor, we fit the
experimental data for the $\pi^0\gamma$ and the $\omega\pi^0$ transition form
factors and show that our result describes the experimental data well.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:47:51 GMT""}]","2009-10-22"
"hep-ph/9307366","Harada Masayasu","Masako Bando and Masayasu Harada","Axial Anomaly and Transition Form Factors","LaTeX, 14 pages + 4 figures, (figures are included as uuencoded
  files), KUNS-1210 HE(TH) 93/07","Phys.Rev. D49 (1994) 6096-6100","10.1103/PhysRevD.49.6096",,"hep-ph",,"  We investigate the properties of the amplitude induced by the anomaly. In a
relatively high energy region those amplitudes are constructed by the vector
meson poles and the anomaly terms, in which the anomaly terms can be
essentially evaluated by the triangle quark graph. We pay our attention to the
anomaly term and make intensive analysis of the existing experimental data,
i.e., the electromagnetic $\pi^0$ and $\omega$ transition form factors. Our
result shows that it is essential to use the constituent quark mass instead of
the current quark mass in evaluating the anomaly term from the triangle graph.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 16:48:57 GMT""}]","2009-10-22"
"hep-ph/9307367","J. Gunion","J.F. Gunion","Higgs Bosons at an $\bf\epem$ Linear Collider: Theory and Phenomenology","26 pages, uses phyzzx.tex, full postscript file including embedded
  figures available via anonymous ftp at ucdhep.ucdavis.edu as
  [anonymous.gunion]hawaii.ps, preprint number UCD-93-24",,,,"hep-ph",,"  I review recent developments in the theory and phenomenology of Higgs bosons
at an $\epem$ linear collider with $\sqrt s$ of order 500 GeV.
","[{""version"":""v1"",""created"":""Thu, 29 Jul 1993 20:56:00 GMT""}]","2007-05-23"
